# Generated by scripts/build_other_language_place_names.py. Do not edit by hand.
# Names from Wikipedia (CC BY-SA 4.0):
#   https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
#   https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
#   https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
#   https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
other_language_place_name;language;meteoswiss_point_name;source
Aarbourg;fr;Aarburg;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Agrimoine;fr;Agriswil;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Iriel;rm;Airolo;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Arbignon;fr;Albinen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Albenon;fr;Albligen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Almen;rm;Almens;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Saint-Jean-le-Vieux;fr;Alt St. Johann;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Alvaschagn;rm;Alvaschein;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Ursera;rm;Andermatt;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Andest;de;Andiast;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Piz Blaisch Lunga;rm;Augstenberg;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Farera;rm;Ausserferrera;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Bärfischen;de;Barberêche;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Bâle;fr;Basel;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Basilea;rm;Basel;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Madone;it;Batnall;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Blizuna;rm;Bellinzona;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Belmont;fr;Bellmund;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Bravuogn;rm;Bergün/Bravuogn;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Berna;rm;Bern;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Berne;fr;Bern;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Bâche;fr;Bettlach;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Bevers;de;Bever;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Biel;de;Biel/Bienne;https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
Bienne;fr;Biel/Bienne;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Durschin;rm;Bifertenstock;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Piz Durschin;rm;Bifertenstock;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Beiva;rm;Bivio;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Panaduz;rm;Bonaduz;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Buond;rm;Bondo;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Bürglen;de;Bourguillon;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Brämis;de;Bramois;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Bretonbac;fr;Breitenbach;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Brinzauls;rm;Brienz;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Brigue;fr;Brig;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
